timestamp,level,app_id,message,field1,field2,status_code,bytes
2026-01-29 15:34:12,INFO,hawk[001],User login successful,val001,test,200,1024
2026-01-29 15:34:15,WARN,hawk[002],Slow database query,val002,test,200,2048
2026-01-29 15:34:18,ERROR,hawk[003],Payment gateway timeout,val003,test,500,0
2026-01-29 15:34:20,INFO,hawk[004],Cache hit,val004,test,200,512
2026-01-29 15:34:23,WARN,hawk[005],High memory usage,val005,test,200,1536
2026-01-29 15:34:25,ERROR,hawk[006],Disk space critical,val006,test,503,0
2026-01-29 15:34:28,INFO,hawk[007],Backup completed,val007,test,200,4096
2026-01-29 15:34:30,WARN,hawk[008],Connection pool exhausted,val008,test,429,0
2026-01-29 15:34:33,ERROR,hawk[009],SSL certificate expired,val009,test,502,0
2026-01-29 15:34:35,INFO,hawk[010],Health check passed,val010,test,200,128
2026-01-29 15:35:12,INFO,hawk[011],User login successful,val001,test,200,1024
2026-01-29 15:35:15,WARN,hawk[012],Slow database query,val002,test,200,2048
2026-01-29 15:35:18,ERROR,hawk[013],Payment gateway timeout,val003,test,500,0
2026-01-29 15:35:20,INFO,hawk[014],Cache hit,val004,test,200,512
2026-01-29 15:35:23,WARN,hawk[015],High memory usage,val005,test,200,1536
2026-01-29 15:35:25,ERROR,hawk[016],Disk space critical,val006,test,503,0
2026-01-29 15:35:28,INFO,hawk[017],Backup completed,val007,test,200,4096
2026-01-29 15:35:30,WARN,hawk[018],Connection pool exhausted,val008,test,429,0
2026-01-29 15:35:33,ERROR,hawk[019],SSL certificate expired,val009,test,502,0
2026-01-29 15:35:35,INFO,hawk[020],Health check passed,val010,test,200,128
